Min,tempM,Rtemp
1186,3.8,1.8
1187,3.8,1.6
1188,3.8,1.7
1189,3.8,1.9
1190,3.8,2.2
1191,3.8,2.4
1192,3.8,2.6
1193,3.8,2.8
1194,3.8,2.9
1195,3.8,3
1196,3.8,3.2
1197,3.8,3.3
1198,3.8,3.4
1199,3.8,3.5
1200,3.8,3.6
1201,3.8,3.7
1202,3.8,4
1203,3.8,4
1204,3.8,4
1205,3.8,4
1206,3.8,4.1
1207,3.8,4.2
1208,3.8,4.2
1209,3.9,4.3
1210,3.9,4.3
1211,3.9,4.4
1212,3.9,4.4
1213,3.9,4.4
1214,3.9,4.5
1215,3.9,4.6
1216,3.9,4.6
1217,3.9,4.7
1218,3.9,4.7
1219,3.9,4.7
1220,3.9,4.7
1221,3.9,4.8
1222,3.9,4.8
1223,4,4.9
1224,4,4.9
1225,3.9,4.5
1226,4,4
1227,3.9,3.5
1228,3.9,3.1
1229,3.9,2.8
1230,3.9,2.4
1231,3.9,2.1
1232,3.8,1.9
1233,3.8,1.6
1234,3.7,1.6
1235,3.8,1.9
1236,3.7,2.1
1237,3.8,2.4
1238,3.8,2.6
1239,3.8,2.8
1240,3.8,2.9
1241,3.8,3
1242,3.8,3.2
1243,3.8,3.3
1244,3.8,3.4
1245,3.7,3.4
1246,3.8,3.6
1247,3.8,3.6
1248,3.7,3.7
1249,3.8,3.8
1250,3.8,3.8
1251,3.8,4
1252,3.8,4
1253,3.8,4
1254,3.8,4.1
1255,3.8,4.1
1256,3.8,4.2
1257,3.9,4.3
1258,3.8,4.3
1259,3.8,4.3
1260,3.9,4.4
1261,3.8,4.5
1262,3.8,4.5
1263,3.9,4.6
1264,3.9,4.6
1265,3.8,4.6
1266,3.9,4.7
1267,3.9,4.7
1268,3.9,4.7
1269,3.8,4.7
1270,3.9,4.8
1271,3.9,4.8
1272,4,4.9
1273,3.9,4.8
1274,3.9,4.3
1275,4,3.8
1276,3.9,3.3
1277,3.9,2.9
1278,3.8,2.6
1279,3.8,2.3
1280,3.8,2
1281,3.8,1.8
1282,3.7,1.6
1283,3.7,1.8
1284,3.7,2
1285,3.8,2.3
1286,3.8,2.5
1287,3.8,2.7
1288,3.8,2.9
1289,3.8,3
1290,3.7,3.1
1291,3.8,3.2
1292,3.8,3.4
1293,3.7,3.4
1294,3.7,3.5
1295,3.8,3.6
1296,3.7,3.6
1297,3.7,3.7
1298,3.8,3.8
1299,3.7,3.8
1300,3.8,4
1301,3.8,4
1302,3.7,4
1303,3.8,4.1
1304,3.8,4.2
1305,3.8,4.2
1306,3.8,4.3
1307,3.8,4.3
1308,3.9,4.4
1309,3.8,4.4
1310,3.8,4.5
1311,3.9,4.6
1312,3.9,4.6
1313,3.8,4.6
1314,3.8,4.6
1315,3.9,4.7
1316,3.8,4.7
1317,3.8,4.7
1318,3.9,4.8
1319,3.9,4.8
1320,3.9,4.9
1321,3.9,5
1322,3.9,4.8
1323,3.9,4.3
1324,3.9,3.8
1325,3.9,3.4
1326,3.8,3
1327,3.9,2.8
1328,3.8,2.4
1329,3.8,2.2
1330,3.8,2.1
1331,3.7,1.8
1332,3.7,1.6
1333,3.7,1.8
1334,3.7,2.1
1335,3.7,2.3
1336,3.8,2.5
1337,3.8,2.7
1338,3.8,2.9
1339,3.7,3
1340,3.7,3.1
1341,3.8,3.2
1342,3.7,3.4
1343,3.7,3.4
1344,3.8,3.5
1345,3.7,3.6
1346,3.7,4
1347,3.7,4.1
1348,3.8,4.2
1349,3.7,4.3
1350,3.8,4.4
1351,3.8,4.4
1352,3.8,4.5
1353,3.9,4.6
1354,3.8,4.6
1355,3.9,4.8
1356,3.8,4.8
1357,3.9,4.9
1358,3.8,4.9
1359,3.9,5
1360,3.9,4.8
1361,3.8,4.2
1362,3.9,3.8
1363,3.8,3.6
1364,3.8,3.2
1365,3.8,2.8
1366,3.8,2.5
1367,3.8,2.2
1368,3.7,1.9
1369,3.7,1.7
1370,3.7,1.6
1371,3.7,1.9
1372,3.7,2.1
1373,3.7,2.4
1374,3.7,2.6
1375,3.7,2.8
1376,3.7,3
1377,3.7,3.1
1378,3.7,3.2
1379,3.7,3.4
1380,3.7,3.4
1381,3.7,3.5
1382,3.7,3.6
1383,3.7,3.7
1384,3.7,3.7
1385,3.6,3.8
1386,3.7,3.9
1387,3.7,3.9
1388,3.7,4
1389,3.7,4.1
1390,3.8,4.2
1391,3.8,4.2
1392,3.7,4.2
1393,3.8,4.3
1394,3.8,4.4
1395,3.8,4.5
1396,3.8,4.5
1397,3.8,4.5
1398,3.8,4.5
1399,3.8,4.6
1400,3.8,4.6
1401,3.8,4.6
1402,3.8,4.7
1403,3.8,4.7
1404,3.8,4.8
1405,3.8,4.9
1406,3.8,4.9
1407,3.9,5
1408,3.9,4.7
1409,3.9,4.1
1410,3.8,3.6
1411,3.8,3.1
1412,3.8,2.8
1413,3.8,2.5
1414,3.8,2.2
1415,3.7,1.9
1416,3.7,1.7
1417,3.7,1.6
1418,3.7,1.9
1419,3.7,2.2
1420,3.7,2.4
1421,3.7,2.6
